66,76,1,85,37,55,80
86,41,83,91,16,24,76
52,74,34,98,38,14,44
69,48,69,80,78,42,65
72,90,5,50,63,86,12
63,64,13,7,73,74,51
31,25,62,8,23,98,4
91,24,81,74,81,18,80
70,71,60,68,94,45,47
42,2,75,18,26,29,46
94,77,85,41,22,79,52
35,38,46,97,20,78,36
23,29,43,81,75,13,4
72,4,13,3,19,87,35
48,35,63,49,34,99,92
70,16,20,11,60,2,79
93,9,15,96,73,93,21
42,31,85,91,48,66,48
60,72,39,79,49,1,41
22,2,33,95,3,69,50
28,29,26,96,95,43,22
48,7,55,89,84,9,2
5,47,41,63,63,2,29
17,74,79,31,26,92,20
83,12,11,89,70,60,28
57,55,33,20,31,19,28
76,31,77,27,87,51,42
95,61,81,92,56,50,44
79,46,34,94,75,6,40
51,27,73,43,56,8,65
57,11,16,70,72,49,45
27,71,48,23,32,29,30
25,67,85,74,6,25,50
19,8,54,8,45,27,88
13,65,17,8,94,1,65
51,93,91,51,25,70,66
21,18,93,13,72,85,6
43,43,71,30,59,51,91
8,37,66,87,23,64,31
79,36,80,51,97,57,60
29,45,91,72,11,51,62
40,17,6,35,31,38,93
52,44,55,96,29,26,7
58,15,34,40,84,11,52
52,84,75,62,61,83,69
27,28,49,83,97,26,54
45,43,35,34,54,65,14
97,53,12,73,4,58,9
32,74,77,19,52,94,67
30,60,35,15,84,68,40
12,64,71,50,17,47,82
4,35,67,4,94,77,60
90,16,55,29,17,47,35
74,2,23,41,40,94,85
71,68,17,41,7,96,29
22,33,45,77,18,89,37
49,52,61,98,29,72,12
22,59,93,84,59,99,71
62,33,86,63,22,31,96
94,80,13,38,49,21,38
89,62,15,65,66,95,47
5,98,17,41,13,59,91
79,4,91,3,29,81,40
1,38,50,77,25,81,81
20,58,17,91,39,8,77
34,75,52,55,8,5,83
94,79,73,25,49,14,71
84,9,1,46,32,16,16
69,6,13,51,87,39,3
57,8,87,40,8,66,96
67,38,11,55,65,51,73
56,78,14,12,84,54,7
88,89,16,27,55,61,32
85,25,20,96,75,55,41
46,95,19,43,73,6,44
12,72,39,97,35,44,95
17,9,83,57,18,41,63
91,78,26,66,12,34,93
55,22,14,84,18,40,61
14,41,35,1,96,77,25
19,13,52,57,42,58,24
52,43,64,76,6,62,67
56,49,55,27,23,89,81
37,52,22,13,64,5,31
76,7,39,40,84,85,96
40,25,24,22,38,72,45
70,78,36,74,90,78,59
17,44,65,87,21,52,1
95,13,41,76,7,95,89
31,42,98,9,65,75,66
24,20,73,20,76,33,60
63,10,88,75,47,22,71
48,1,74,29,45,64,29
7,33,97,46,14,71,69
22,16,65,50,2,2,44
55,30,57,75,69,64,84
8,3,6,22,71,47,90
69,43,96,75,15,99,91
50,31,68,38,25,6,72
65,49,6,99,20,35,49
41,66,79,18,62,15,13
91,73,87,96,75,40,85
48,17,28,26,43,48,16
4,17,69,3,91,2,24
85,77,38,78,94,66,68
93,43,61,50,9,16,91
40,58,60,35,91,39,8
9,38,79,18,12,16,59
36,8,51,13,81,40,54
37,64,70,2,66,35,51
38,24,19,42,32,19,13
49,29,81,59,44,40,14
68,64,40,15,16,12,84
77,82,22,76,92,9,66
70,97,25,49,46,13,58
81,88,50,51,76,28,65
54,61,93,18,34,96,96
44,76,68,69,72,18,73
5,26,98,49,54,48,17
30,84,48,34,73,46,51
2,46,14,14,93,61,53
54,75,59,89,7,47,98
2,50,29,9,55,94,11
49,71,16,63,2,55,38
26,84,92,34,57,55,96
96,71,16,68,23,17,55
23,7,73,9,45,8,33
59,64,69,26,31,62,49
80,80,55,89,98,17,25
62,45,30,24,52,17,32
81,31,95,40,61,88,61
65,39,95,6,30,95,42
